original,original_year,original_url,remake,remake_year,remake_url
Unfaithfully Yours,1948,/wiki/Unfaithfully_Yours_(1948_film),Unfaithfully Yours,1984,/wiki/Unfaithfully_Yours_(1984_film)
The Unholy Three,1925,/wiki/The_Unholy_Three_(1925_film),The Unholy Three,1930,/wiki/The_Unholy_Three_(1930_film)
Up in Mabel's Room,1926,/wiki/Up_in_Mabel%27s_Room_(1926_film),Up in Mabel's Room,1944,/wiki/Up_in_Mabel%27s_Room_(1944_film)
Up the River,1930,/wiki/Up_the_River,Up the River,1938,/wiki/Up_the_River_(1938_film)
Valley Girl,1983,/wiki/Valley_Girl_(1983_film),Valley Girl,2020,/wiki/Valley_Girl_(2020_film)
The Vanishing,1988,/wiki/The_Vanishing_(1988_film),The Vanishing,1993,/wiki/The_Vanishing_(1993_film)
Vanishing Point,1971,/wiki/Vanishing_Point_(1971_film),Vanishing Point,1997,/wiki/Vanishing_Point_(1997_film)
Vash,2023,/wiki/Vash_(film),Shaitaan,2024,
Veeram,2014,/wiki/Veeram_(2014_film),Kisi Ka Bhai Kisi Ki Jaan,2023,/wiki/Kisi_Ka_Bhai_Kisi_Ki_Jaan
Victor and Victoria,1933,/wiki/Victor_and_Victoria,First a Girl,1935,/wiki/First_a_Girl
Victor and Victoria,1933,/wiki/Victor_and_Victoria,Victor and Victoria,1957,/wiki/Victor_and_Victoria_(1957_film)
Victor and Victoria,1933,/wiki/Victor_and_Victoria,Victor/Victoria,1982,/wiki/Victor/Victoria
Village of the Damned,1960,/wiki/Village_of_the_Damned_(1960_film),Village of the Damned,1995,/wiki/Village_of_the_Damned_(1995_film)
Vikramarkudu,2006,/wiki/Vikramarkudu,Ulta Palta 69,2007,/wiki/Ulta_Palta_69
Vikramarkudu,2006,/wiki/Vikramarkudu,Veera Madakari,2009,/wiki/Veera_Madakari
Vikramarkudu,2006,/wiki/Vikramarkudu,Siruthai,2011,/wiki/Siruthai
Vikramarkudu,2006,/wiki/Vikramarkudu,Bikram Singha,2012,/wiki/Bikram_Singha:_The_Lion_Is_Back
Vikramarkudu,2006,/wiki/Vikramarkudu,Rowdy Rathore,2012,/wiki/Rowdy_Rathore
The Virginian,1929,/wiki/The_Virginian_(1929_film),The Virginian,1946,/wiki/The_Virginian_(1946_film)
Les Visiteurs,1993,/wiki/Les_Visiteurs,Just Visiting,2001,/wiki/Just_Visiting_(film)
The Wages of Fear,1953,/wiki/The_Wages_of_Fear,Sorcerer,1977,/wiki/Sorcerer_(film)
Walking Tall,1973,/wiki/Walking_Tall_(1973_film),Walking Tall,2004,/wiki/Walking_Tall_(2004_film)
The Wasp Woman,1959,/wiki/The_Wasp_Woman,The Wasp Woman,1995,/wiki/The_Wasp_Woman_(1995_film)
Waterloo Bridge,1931,/wiki/Waterloo_Bridge_(1931_film),Waterloo Bridge,1940,/wiki/Waterloo_Bridge_(1940_film)
The Way of All Flesh,1927,/wiki/The_Way_of_All_Flesh_(1927_film),The Way of All Flesh,1940,/wiki/The_Way_of_All_Flesh_(1940_film)
West Side Story,1961,/wiki/West_Side_Story_(1961_film),West Side Story,2021,/wiki/West_Side_Story_(2021_film)
We're No Angels,1955,/wiki/We%27re_No_Angels_(1955_film),We're No Angels,1989,/wiki/We%27re_No_Angels_(1989_film)
When a Stranger Calls,1979,/wiki/When_a_Stranger_Calls_(1979_film),When a Stranger Calls,2006,/wiki/When_a_Stranger_Calls_(2006_film)
What Women Want,2000,/wiki/What_Women_Want,What Women Want,2011,/wiki/What_Women_Want_(2011_film)
What Women Want,2000,/wiki/What_Women_Want,What Men Want,2019,/wiki/What_Men_Want_(2019_film)
What Ever Happened to Baby Jane?,1962,/wiki/What_Ever_Happened_to_Baby_Jane%3F_(film),What Ever Happened to...,1991,/wiki/What_Ever_Happened_to...
Where the Boys Are,1960,/wiki/Where_the_Boys_Are,Where the Boys Are '84,1984,/wiki/Where_the_Boys_Are_%2784
White Men Can't Jump,1992,/wiki/White_Men_Can%27t_Jump,White Men Can't Jump,2023,/wiki/White_Men_Can%27t_Jump_(2023_film)
The White Outlaw,1929,/wiki/The_White_Outlaw_(1929_film),The Apache Kid's Escape,1930,/wiki/The_Apache_Kid%27s_Escape
The Wicked Lady,1945,/wiki/The_Wicked_Lady,The Wicked Lady,1983,/wiki/The_Wicked_Lady_(1983_film)
The Wicker Man,1973,/wiki/The_Wicker_Man,The Wicker Man,2006,/wiki/The_Wicker_Man_(2006_film)
"Wife, Husband and Friend",1939,"/wiki/Wife,_Husband_and_Friend",Everybody Does It,1949,/wiki/Everybody_Does_It
Winchester '73,1950,/wiki/Winchester_%2773,Winchester '73,1967,/wiki/Winchester_%2773#Remake
The Window,1949,/wiki/The_Window_(1949_film),The Boy Cried Murder,1966,/wiki/The_Boy_Cried_Murder
Wings of Desire,1987,/wiki/Wings_of_Desire,City of Angels,1998,/wiki/City_of_Angels_(film)
Witchboard,1986,/wiki/Witchboard,Witchboard,2024,/wiki/Witchboard_(2024_film)
Witness for the Prosecution,1957,/wiki/Witness_for_the_Prosecution_(1957_film),Witness for the Prosecution,1982,/wiki/Witness_for_the_Prosecution_(1982_film)
The Wizard of Gore,1970,/wiki/The_Wizard_of_Gore,The Wizard of Gore,2007,/wiki/The_Wizard_of_Gore_(2007_film)
The Wizard of Oz,1939,/wiki/The_Wizard_of_Oz_(1939_film),Tom and Jerry and the Wizard of Oz,2011,/wiki/Tom_and_Jerry_and_the_Wizard_of_Oz
The Wolf Man,1941,/wiki/The_Wolf_Man_(1941_film),The Wolfman,2010,/wiki/The_Wolfman_(2010_film)
The Women,1939,/wiki/The_Women_(1939_film),The Opposite Sex,1956,/wiki/The_Opposite_Sex
The Women,1939,/wiki/The_Women_(1939_film),The Women,2008,/wiki/The_Women_(2008_film)
Wonderful Nightmare aka Misseu waipeu,2015,/wiki/Wonderful_Nightmare,Beautiful Accident aka Mei hao de yi wai,2017,/wiki/Beautiful_Accident
World on a Wire,1973,/wiki/World_on_a_Wire,The Thirteenth Floor,1999,/wiki/The_Thirteenth_Floor
X Marks the Spot,1931,/wiki/X_Marks_the_Spot_(1931_film),X Marks the Spot,1942,/wiki/X_Marks_the_Spot_(1942_film)
A Yank at Oxford,1938,/wiki/A_Yank_at_Oxford,Oxford Blues,1984,/wiki/Oxford_Blues
The Yellow Handkerchief,1977,/wiki/The_Yellow_Handkerchief_(1977_film),The Yellow Handkerchief,2008,/wiki/The_Yellow_Handkerchief_(2008_film)
Yellow Sky,1948,/wiki/Yellow_Sky,The Jackals,1967,/wiki/The_Jackals
Yojimbo,1961,/wiki/Yojimbo_(film),A Fistful of Dollars,1964,/wiki/A_Fistful_of_Dollars
Yojimbo,1961,/wiki/Yojimbo_(film),Last Man Standing,1996,/wiki/Last_Man_Standing_(1996_film)
"Yours, Mine and Ours",1968,"/wiki/Yours,_Mine_and_Ours_(1968_film)","Yours, Mine & Ours",2005,"/wiki/Yours,_Mine_%26_Ours_(2005_film)"
Zero Hour!,1957,/wiki/Zero_Hour!,Terror in the Sky,1971,/wiki/Terror_in_the_Sky
